"","country","Region","year","population","life","gdp"
"213","China","East Asia & Pacific","1810",350542958,32,985
"214","Colombia","America","1810",1206000,32,964
"215","Comoros","Sub-Saharan Africa","1810",56346,32.1,703
"216","Congo, Dem. Rep.","Sub-Saharan Africa","1810",5163819,31.6,505
"217","Congo, Rep.","Sub-Saharan Africa","1810",314465,32.7,591
"218","Costa Rica","America","1810",57584,30.2147,776
"219","Cote d'Ivoire","Sub-Saharan Africa","1810",1088530,31.156,845
"220","Cuba","America","1810",470176,33.64,970
"221","Cyprus","Europe & Central Asia","1810",184590,38.5012631578947,855
"222","Denmark","Europe & Central Asia","1810",1108146,41.7148445971958,2050
"223","Djibouti","Middle East & North Africa","1810",22848,29.9,776
"224","Ecuador","America","1810",5e+05,32.9,530
"225","Egypt","Middle East & North Africa","1810",4218711,33,792
"226","El Salvador","America","1810",248000,28.7,976
"227","Equatorial Guinea","Sub-Saharan Africa","1810",80377,29.8,360
"228","Eritrea","Sub-Saharan Africa","1810",205010,30.2,533
"229","Estonia","Europe & Central Asia","1810",334136,34.8586341101373,949
"230","Ethiopia","Sub-Saharan Africa","1810",2948990,29.7,523
"231","Fiji","East Asia & Pacific","1810",132682,26.1,786
"232","Finland","Europe & Central Asia","1810",1070625,36.9473377991909,1267
"233","France","Europe & Central Asia","1810",30293172,37.4,1839
"234","Gabon","Sub-Saharan Africa","1810",158227,30.6,391
"235","Gambia","Sub-Saharan Africa","1810",103274,28.8,818
"236","Georgia","Europe & Central Asia","1810",1072178,31.871,544
"237","Germany","Europe & Central Asia","1810",23882461,38.37,1759
"238","Ghana","Sub-Saharan Africa","1810",2016034,28,701
"239","Greece","Europe & Central Asia","1810",2230659,36.6,1395
"240","Greenland","Europe & Central Asia","1810",9584,33.8670311921472,394
"241","Grenada","America","1810",29409,31.4,960
"242","Guatemala","America","1810",524190,25.8016,858
"243","Guinea","Sub-Saharan Africa","1810",983959,29.6034482758621,451
"244","Guinea-Bissau","Sub-Saharan Africa","1810",218167,32,778
"245","Guyana","America","1810",166034,31.12,1216
"246","Haiti","America","1810",723000,29,634
"247","Honduras","America","1810",132182,33.9,676
"248","Hong Kong, China","East Asia & Pacific","1810",20000,34.9,1008
"249","Hungary","Europe & Central Asia","1810",3814221,36,1251
"250","Iceland","Europe & Central Asia","1810",61428,43.1391553263293,928
"251","India","South Asia","1810",171940819,25.4424,1051
"252","Indonesia","East Asia & Pacific","1810",16537268,30,996
"253","Iran","Middle East & North Africa","1810",6413820,25.6,979
"254","Iraq","Middle East & North Africa","1810",1084941,31.2,971
"255","Ireland","Europe & Central Asia","1810",4541676,38.3,1449
"256","Israel","Middle East & North Africa","1810",209954,32,881
"257","Italy","Europe & Central Asia","1810",19491674,29.69,2371
"258","Jamaica","America","1810",401000,34.2,1172
"259","Japan","East Asia & Pacific","1810",30645903,36.4039753846154,1064
"260","Jordan","Middle East & North Africa","1810",217000,31.7,978
"261","Kazakhstan","Europe & Central Asia","1810",2041282,26.2,1153
"262","Kenya","Sub-Saharan Africa","1810",2574000,25.5,881
"263","Kiribati","East Asia & Pacific","1810",17876,24.9,556
"264","Kuwait","Middle East & North Africa","1810",81280,26,1139
"265","Latvia","Europe & Central Asia","1810",590588,33,760
"266","Lebanon","Middle East & North Africa","1810",332000,29.7,1090
"267","Lesotho","Sub-Saharan Africa","1810",276361,32.8,395
