"","country","Region","year","population","life","gdp"
"17112","Sweden","Europe & Central Asia","1815",2428185,40.42,1464
"17113","Switzerland","Europe & Central Asia","1815",1904962,38,2707
"17114","Syria","Middle East & North Africa","1815",1337000,31.1,1083
"17115","Tajikistan","Europe & Central Asia","1815",466629,24.235,559
"17116","Tanzania","Sub-Saharan Africa","1815",3019768,32.2,563
"17117","Thailand","East Asia & Pacific","1815",4665000,30.4,934
"17118","Timor-Leste","East Asia & Pacific","1815",137262,28.949,537
"17119","Togo","Sub-Saharan Africa","1815",445985,31.3,684
"17120","Tonga","East Asia & Pacific","1815",18621,28.2,664
"17121","Trinidad and Tobago","America","1815",60000,32.9,1233
"17122","Tunisia","Middle East & North Africa","1815",868499,28.8,717
"17123","Turkey","Europe & Central Asia","1815",9923007,35,1224
"17124","Turkmenistan","Europe & Central Asia","1815",367215,24,960
"17125","Uganda","Sub-Saharan Africa","1815",2101397,25.3,465
"17126","Ukraine","Europe & Central Asia","1815",11215490,36.6,777
"17127","United Arab Emirates","Middle East & North Africa","1815",40153,30.7,1055
"17128","United Kingdom","Europe & Central Asia","1815",14106058,41.1317787329088,3589
"17129","United States","America","1815",8294928,39.41,2349
"17130","Uruguay","America","1815",55000,32.9,1762
"17131","Uzbekistan","Europe & Central Asia","1815",1919159,26.926,503
"17132","Vanuatu","East Asia & Pacific","1815",27791,24.3,587
"17133","Venezuela","America","1815",718000,32.2,683
"17134","West Bank and Gaza","Middle East & North Africa","1815",165944,32.1,1223
"17135","Vietnam","East Asia & Pacific","1815",6551000,32,863
"17136","Zambia","Sub-Saharan Africa","1815",747000,32.6,688
"17137","Zimbabwe","Sub-Saharan Africa","1815",1085814,33.7,885
"17138","South Sudan","Sub-Saharan Africa","1815",1041076,26.665,508
"17139","Afghanistan","South Asia","1816",3280000,28.0470533333333,604
"17140","Albania","Europe & Central Asia","1816",423591,35.4,669
"17141","Algeria","Middle East & North Africa","1816",2595056,28.8224,731
"17142","Angola","Sub-Saharan Africa","1816",1567028,26.98,662
"17143","Antigua and Barbuda","America","1816",37000,33.536,759
"17144","Argentina","America","1816",534000,33.2,1511
"17145","Armenia","Europe & Central Asia","1816",413326,33.995,515
"17146","Aruba","America","1816",19286,34.419,835
"17147","Australia","East Asia & Pacific","1816",342440,34.05,845
"17148","Austria","Europe & Central Asia","1816",3286650,34.4,1971
"17149","Azerbaijan","Europe & Central Asia","1816",879960,29.165,778
"17150","Bahamas","America","1816",27350,35.179,1449
"17151","Bahrain","Middle East & North Africa","1816",64474,30.3,1323
"17152","Bangladesh","South Asia","1816",19611269,25.5,875
"17153","Barbados","America","1816",81729,32.124,916
"17154","Belarus","Europe & Central Asia","1816",2355081,36.2,613
"17155","Belgium","Europe & Central Asia","1816",3283959,40.1287804878049,2418
"17156","Belize","America","1816",25526,26.5,580
"17157","Benin","Sub-Saharan Africa","1816",636559,31,598
"17158","Bhutan","South Asia","1816",89989,28.799,631
"17159","Bolivia","America","1816",1100000,33,856
"17160","Bosnia and Herzegovina","Europe & Central Asia","1816",851806,35.1,670
"17161","Botswana","Sub-Saharan Africa","1816",121000,33.6,398
"17162","Brazil","America","1816",4058652,31.9969066666667,1111
"17163","Brunei","East Asia & Pacific","1816",2128,29.2,1515
"17164","Bulgaria","Europe & Central Asia","1816",2088223,36.504,1092
"17165","Burkina Faso","Sub-Saharan Africa","1816",1665421,29.2,481
"17166","Burundi","Sub-Saharan Africa","1816",899097,31.5,424
"17167","Cambodia","East Asia & Pacific","1816",2090000,35,906
"17168","Cameroon","Sub-Saharan Africa","1816",1860054,28.75,628
"17169","Canada","America","1816",727603,39.0239483870968,1454
"17170","Cape Verde","Sub-Saharan Africa","1816",55716,33.8,530
"17171","Chad","Sub-Saharan Africa","1816",1432000,30.9,419
"17172","Chile","America","1816",771447,32,1029
"17173","China","East Asia & Pacific","1816",350542958,32,985
"17174","Colombia","America","1816",1206000,32,965
"17175","Comoros","Sub-Saharan Africa","1816",56346,32.1,707
"17176","Congo, Dem. Rep.","Sub-Saharan Africa","1816",5163819,31.6,518
"17177","Congo, Rep.","Sub-Saharan Africa","1816",314465,32.7,601
"17178","Costa Rica","America","1816",57584,30.2147,777
"17179","Cote d'Ivoire","Sub-Saharan Africa","1816",1088530,31.156,866
"17180","Cuba","America","1816",470176,34.4,1040
"17181","Cyprus","Europe & Central Asia","1816",184590,38.5020210526316,855
"17182","Denmark","Europe & Central Asia","1816",1108146,44.0844884247942,2073
"17183","Djibouti","Middle East & North Africa","1816",22848,29.9,791
"17184","Ecuador","America","1816",5e+05,32.9,530
"17185","Egypt","Middle East & North Africa","1816",4218711,33,793
"17186","El Salvador","America","1816",248000,28.7,977
"17187","Equatorial Guinea","Sub-Saharan Africa","1816",80377,29.8,363
"17188","Eritrea","Sub-Saharan Africa","1816",205010,30.2,533
"17189","Estonia","Europe & Central Asia","1816",334136,39.0974394304074,956
"17190","Ethiopia","Sub-Saharan Africa","1816",2948990,29.7,524
"17191","Fiji","East Asia & Pacific","1816",132682,26.1,787
"17192","Finland","Europe & Central Asia","1816",1070625,38.6912330216805,1281
"17193","France","Europe & Central Asia","1816",30293172,40.04,1861
"17194","Gabon","Sub-Saharan Africa","1816",158227,30.6,391
"17195","Gambia","Sub-Saharan Africa","1816",103274,28.8,821
"17196","Georgia","Europe & Central Asia","1816",1072178,31.871,544
"17197","Germany","Europe & Central Asia","1816",23882461,38.37,1834
"17198","Ghana","Sub-Saharan Africa","1816",2016034,28,705
"17199","Greece","Europe & Central Asia","1816",2230659,36.6,1410
"17200","Greenland","Europe & Central Asia","1816",9584,33.8670499074355,394
"17201","Grenada","America","1816",29409,31.4,961
"17202","Guatemala","America","1816",524190,25.80256,859
"17203","Guinea","Sub-Saharan Africa","1816",983959,29.6655172413793,451
"17204","Guinea-Bissau","Sub-Saharan Africa","1816",218167,32,779
"17205","Guyana","America","1816",166034,31.12,1217
"17206","Haiti","America","1816",723000,29,635
"17207","Honduras","America","1816",132182,33.9,676
"17208","Hong Kong, China","East Asia & Pacific","1816",20000,34.9,1009
"17209","Hungary","Europe & Central Asia","1816",3814221,36,1252
"17210","Iceland","Europe & Central Asia","1816",61428,31.1223994327841,929
"17211","India","South Asia","1816",171940819,25.4424,1051
"17212","Indonesia","East Asia & Pacific","1816",16537268,30,997
"17213","Iran","Middle East & North Africa","1816",6413820,25.6,979
"17214","Iraq","Middle East & North Africa","1816",1084941,31.2,972
"17215","Ireland","Europe & Central Asia","1816",4541676,38.3,1450
"17216","Israel","Middle East & North Africa","1816",209954,32,882
"17217","Italy","Europe & Central Asia","1816",19491674,29.69,2294
"17218","Jamaica","America","1816",401000,34.2,1173
"17219","Japan","East Asia & Pacific","1816",30645903,36.4063606153847,1073
"17220","Jordan","Middle East & North Africa","1816",217000,31.7,979
"17221","Kazakhstan","Europe & Central Asia","1816",2041282,26.2,1162
"17222","Kenya","Sub-Saharan Africa","1816",2574000,25.5,897
"17223","Kiribati","East Asia & Pacific","1816",17876,24.9,559
"17224","Kuwait","Middle East & North Africa","1816",81280,26,1165
"17225","Latvia","Europe & Central Asia","1816",590588,33,765
"17226","Lebanon","Middle East & North Africa","1816",332000,29.7,1096
"17227","Lesotho","Sub-Saharan Africa","1816",276361,32.8,397
"17228","Liberia","Sub-Saharan Africa","1816",313543,31.1,799
"17229","Libya","Middle East & North Africa","1816",534730,33.1,1052
"17230","Lithuania","Europe & Central Asia","1816",778655,28.9,1294
"17231","Luxembourg","Europe & Central Asia","1816",127030,36.9,1456
"17232","Macao, China","East Asia & Pacific","1816",21325,34.7,995
"17233","Macedonia, FYR","Europe & Central Asia","1816",391865,36.1,692
"17234","Madagascar","Sub-Saharan Africa","1816",1612106,30.5,574
"17235","Malawi","Sub-Saharan Africa","1816",737000,30.3,351
"17236","Malaysia","East Asia & Pacific","1816",287000,30.6,1000
"17237","Maldives","South Asia","1816",42378,32.647,845
"17238","Mali","Sub-Saharan Africa","1816",1403398,26.408,604
"17239","Malta","Europe & Central Asia","1816",134072,28.7,783
"17240","Mauritania","Sub-Saharan Africa","1816",382696,32,529
"17241","Mauritius","Sub-Saharan Africa","1816",78310,28.7,942
"17242","Mexico","America","1816",6382317,26.9,1382
"17243","Micronesia, Fed. Sts.","East Asia & Pacific","1816",16416,26.7,523
"17244","Moldova","Europe & Central Asia","1816",712558,33.145,622
"17245","Mongolia","East Asia & Pacific","1816",619000,31.8,593
"17246","Montenegro","Europe & Central Asia","1816",126582,35.4,1060
"17247","Morocco","Middle East & North Africa","1816",2595056,33.1,716
"17248","Mozambique","Sub-Saharan Africa","1816",2038660,30.2777866666667,394
"17249","Myanmar","East Asia & Pacific","1816",3506000,30.8,842
"17250","Namibia","Sub-Saharan Africa","1816",229000,32.4,541
"17251","Nepal","South Asia","1816",3881000,32.8,656
"17252","Netherlands","Europe & Central Asia","1816",2293548,39.86,3748
"17253","New Zealand","East Asia & Pacific","1816",1e+05,34.05,660
"17254","Nicaragua","America","1816",219387,25.4,975
"17255","Niger","Sub-Saharan Africa","1816",1244861,30.8,447
"17256","Nigeria","Sub-Saharan Africa","1816",12100855,30.4,876
"17257","Norway","Europe & Central Asia","1816",918398,46.3330302823822,1311
"17258","Oman","Middle East & North Africa","1816",318000,32.3,918
"17259","Pakistan","South Asia","1816",13385672,25.8,1019
"17260","Panama","America","1816",78842,32.9,849
"17261","Papua New Guinea","East Asia & Pacific","1816",754894,31.5,548
"17262","Paraguay","America","1816",143000,35.5,837
"17263","Peru","America","1816",1315575,35.7,1207
"17264","Philippines","East Asia & Pacific","1816",1894389,30.9,964
"17265","Poland","Europe & Central Asia","1816",9960687,35.9,1289
"17266","Portugal","Europe & Central Asia","1816",3163489,35.6,1689
"17267","Puerto Rico","America","1816",198271,30.43,1378
"17268","Qatar","Middle East & North Africa","1816",14092,30.8,1165
"17269","Romania","Europe & Central Asia","1816",5915097,35.7,817
"17270","Russia","Europe & Central Asia","1816",31088398,29.5734571976521,1457
"17271","Rwanda","Sub-Saharan Africa","1816",928368,31.8,440
"17272","Samoa","East Asia & Pacific","1816",47220,25.4,1403
"17273","Sao Tome and Principe","Sub-Saharan Africa","1816",22731,31,876
"17274","Saudi Arabia","Middle East & North Africa","1816",2091000,32.1,855
"17275","Senegal","Sub-Saharan Africa","1816",1009886,25.2,498
"17276","Serbia","Europe & Central Asia","1816",2147197,35.5,1361
"17277","Seychelles","Sub-Saharan Africa","1816",12522,37,843
"17278","Sierra Leone","Sub-Saharan Africa","1816",794264,25.1,736
"17279","Singapore","East Asia & Pacific","1816",30000,29.1,1024
"17280","Slovak Republic","Europe & Central Asia","1816",2140651,36.4,1430
"17281","Slovenia","Europe & Central Asia","1816",469664,36.6,1412
"17282","Solomon Islands","East Asia & Pacific","1816",56998,25.1,364
"17283","Somalia","Sub-Saharan Africa","1816",995738,29.4,704
"17284","South Africa","Sub-Saharan Africa","1816",1494779,33.5,1483
"17285","Spain","Europe & Central Asia","1816",11873298,29.5,1521
"17286","Sri Lanka","South Asia","1816",1213000,32.6,900
"17287","Sudan","Sub-Saharan Africa","1816",4047408,31.4,520
"17288","Suriname","America","1816",80721,32.9,1640
"17289","Swaziland","Sub-Saharan Africa","1816",86000,32.3,491
"17290","Sweden","Europe & Central Asia","1816",2428185,41.74,1492
"17291","Switzerland","Europe & Central Asia","1816",1904962,38,2708
"17292","Syria","Middle East & North Africa","1816",1337000,31.1,1084
"17293","Tajikistan","Europe & Central Asia","1816",466629,24.235,560
"17294","Tanzania","Sub-Saharan Africa","1816",3019768,32.2,563
"17295","Thailand","East Asia & Pacific","1816",4665000,30.4,934
"17296","Timor-Leste","East Asia & Pacific","1816",137262,28.949,538
"17297","Togo","Sub-Saharan Africa","1816",445985,31.3,684
"17298","Tonga","East Asia & Pacific","1816",18621,28.2,664
"17299","Trinidad and Tobago","America","1816",60000,32.9,1233
"17300","Tunisia","Middle East & North Africa","1816",868499,28.8,717
"17301","Turkey","Europe & Central Asia","1816",9923007,35,1224
"17302","Turkmenistan","Europe & Central Asia","1816",367215,24,961
"17303","Uganda","Sub-Saharan Africa","1816",2101397,25.3,465
"17304","Ukraine","Europe & Central Asia","1816",11215490,36.6,778
"17305","United Arab Emirates","Middle East & North Africa","1816",40153,30.7,1059
"17306","United Kingdom","Europe & Central Asia","1816",14106058,39.9383158746959,3345
"17307","United States","America","1816",8294928,39.41,2254
"17308","Uruguay","America","1816",55000,32.9,1762
"17309","Uzbekistan","Europe & Central Asia","1816",1919159,26.926,503
"17310","Vanuatu","East Asia & Pacific","1816",27791,24.3,587
"17311","Venezuela","America","1816",718000,32.2,684
"17312","West Bank and Gaza","Middle East & North Africa","1816",165944,32.1,1223
"17313","Vietnam","East Asia & Pacific","1816",6551000,32,863
"17314","Zambia","Sub-Saharan Africa","1816",747000,32.6,689
"17315","Zimbabwe","Sub-Saharan Africa","1816",1085814,33.7,886
"17316","South Sudan","Sub-Saharan Africa","1816",1041076,26.665,508
"17317","Afghanistan","South Asia","1817",3280000,28.0368066666667,604
"17318","Albania","Europe & Central Asia","1817",423591,35.4,669
"17319","Algeria","Middle East & North Africa","1817",2595056,28.8224,732
"17320","Angola","Sub-Saharan Africa","1817",1567028,26.98,665
"17321","Antigua and Barbuda","America","1817",37000,33.536,759
"17322","Argentina","America","1817",534000,33.2,1511
"17323","Armenia","Europe & Central Asia","1817",413326,33.995,515
"17324","Aruba","America","1817",19286,34.419,835
"17325","Australia","East Asia & Pacific","1817",342440,34.05,847
"17326","Austria","Europe & Central Asia","1817",3286650,34.4,1979
"17327","Azerbaijan","Europe & Central Asia","1817",879960,29.165,778
"17328","Bahamas","America","1817",27350,35.179,1449
"17329","Bahrain","Middle East & North Africa","1817",64474,30.3,1329
"17330","Bangladesh","South Asia","1817",19611269,25.5,875
"17331","Barbados","America","1817",81729,32.124,916
"17332","Belarus","Europe & Central Asia","1817",2355081,36.2,613
"17333","Belgium","Europe & Central Asia","1817",3283959,40.1368292682927,2418
"17334","Belize","America","1817",25526,26.5,580
"17335","Benin","Sub-Saharan Africa","1817",636559,31,598
"17336","Bhutan","South Asia","1817",89989,28.799,631
"17337","Bolivia","America","1817",1100000,33,856
"17338","Bosnia and Herzegovina","Europe & Central Asia","1817",851806,35.1,670
"17339","Botswana","Sub-Saharan Africa","1817",121000,33.6,398
"17340","Brazil","America","1817",4058652,31.9967133333334,1112
"17341","Brunei","East Asia & Pacific","1817",2128,29.2,1516
"17342","Bulgaria","Europe & Central Asia","1817",2088223,36.5479999999999,1092
"17343","Burkina Faso","Sub-Saharan Africa","1817",1665421,29.2,481
"17344","Burundi","Sub-Saharan Africa","1817",899097,31.5,425
"17345","Cambodia","East Asia & Pacific","1817",2090000,35,906
"17346","Cameroon","Sub-Saharan Africa","1817",1860054,28.75,628
"17347","Canada","America","1817",727603,39.0254451612903,1463
"17348","Cape Verde","Sub-Saharan Africa","1817",55716,33.8,531
"17349","Chad","Sub-Saharan Africa","1817",1432000,30.9,419
"17350","Chile","America","1817",771447,32,1029
"17351","China","East Asia & Pacific","1817",350542958,32,985
"17352","Colombia","America","1817",1206000,32,965
"17353","Comoros","Sub-Saharan Africa","1817",56346,32.1,708
"17354","Congo, Dem. Rep.","Sub-Saharan Africa","1817",5163819,31.6,520
"17355","Congo, Rep.","Sub-Saharan Africa","1817",314465,32.7,603
"17356","Costa Rica","America","1817",57584,30.2147,777
"17357","Cote d'Ivoire","Sub-Saharan Africa","1817",1088530,31.156,869
"17358","Cuba","America","1817",470176,34.5,1052
"17359","Cyprus","Europe & Central Asia","1817",184590,38.502147368421,856
"17360","Denmark","Europe & Central Asia","1817",1108146,46.4778779157664,2077
"17361","Djibouti","Middle East & North Africa","1817",22848,29.9,794
"17362","Ecuador","America","1817",5e+05,32.9,531
"17363","Egypt","Middle East & North Africa","1817",4218711,33,793
"17364","El Salvador","America","1817",248000,28.7,977
"17365","Equatorial Guinea","Sub-Saharan Africa","1817",80377,29.8,364
"17366","Eritrea","Sub-Saharan Africa","1817",205010,30.2,533
"17367","Estonia","Europe & Central Asia","1817",334136,40.1700982836316,957
"17368","Ethiopia","Sub-Saharan Africa","1817",2948990,29.7,524
"17369","Fiji","East Asia & Pacific","1817",132682,26.1,787
"17370","Finland","Europe & Central Asia","1817",1070625,38.0882401023952,1283
"17371","France","Europe & Central Asia","1817",30293172,39.18,1865
"17372","Gabon","Sub-Saharan Africa","1817",158227,30.6,391
"17373","Gambia","Sub-Saharan Africa","1817",103274,28.8,821
"17374","Georgia","Europe & Central Asia","1817",1072178,31.871,544
"17375","Germany","Europe & Central Asia","1817",23882461,38.37,1847
"17376","Ghana","Sub-Saharan Africa","1817",2016034,28,705
"17377","Greece","Europe & Central Asia","1817",2230659,36.6,1412
"17378","Greenland","Europe & Central Asia","1817",9584,33.8670530266502,394
"17379","Grenada","America","1817",29409,31.4,961
"17380","Guatemala","America","1817",524190,25.80272,859
"17381","Guinea","Sub-Saharan Africa","1817",983959,29.6758620689655,451
"17382","Guinea-Bissau","Sub-Saharan Africa","1817",218167,32,779
"17383","Guyana","America","1817",166034,31.12,1217
"17384","Haiti","America","1817",723000,29,635
"17385","Honduras","America","1817",132182,33.9,676
"17386","Hong Kong, China","East Asia & Pacific","1817",20000,34.9,1009
"17387","Hungary","Europe & Central Asia","1817",3814221,36,1252
"17388","Iceland","Europe & Central Asia","1817",61428,45.6463354287104,929
"17389","India","South Asia","1817",171940819,25.4424,1050
"17390","Indonesia","East Asia & Pacific","1817",16537268,30,997
"17391","Iran","Middle East & North Africa","1817",6413820,25.6,980
"17392","Iraq","Middle East & North Africa","1817",1084941,31.2,972
"17393","Ireland","Europe & Central Asia","1817",4541676,38.3,1451
"17394","Israel","Middle East & North Africa","1817",209954,32,882
"17395","Italy","Europe & Central Asia","1817",19491674,29.69,2316
"17396","Jamaica","America","1817",401000,34.2,1173
"17397","Japan","East Asia & Pacific","1817",30645903,36.4067581538462,1075
"17398","Jordan","Middle East & North Africa","1817",217000,31.7,979
"17399","Kazakhstan","Europe & Central Asia","1817",2041282,26.2,1163
"17400","Kenya","Sub-Saharan Africa","1817",2574000,25.5,900
"17401","Kiribati","East Asia & Pacific","1817",17876,24.9,559
"17402","Kuwait","Middle East & North Africa","1817",81280,26,1169
"17403","Latvia","Europe & Central Asia","1817",590588,33,766
"17404","Lebanon","Middle East & North Africa","1817",332000,29.7,1097
"17405","Lesotho","Sub-Saharan Africa","1817",276361,32.8,397
"17406","Liberia","Sub-Saharan Africa","1817",313543,31.1,799
"17407","Libya","Middle East & North Africa","1817",534730,33.1,1052
"17408","Lithuania","Europe & Central Asia","1817",778655,28.9,1296
"17409","Luxembourg","Europe & Central Asia","1817",127030,36.9,1456
"17410","Macao, China","East Asia & Pacific","1817",21325,34.7,995
"17411","Macedonia, FYR","Europe & Central Asia","1817",391865,36.1,692
"17412","Madagascar","Sub-Saharan Africa","1817",1612106,30.5,574
"17413","Malawi","Sub-Saharan Africa","1817",737000,30.3,351
"17414","Malaysia","East Asia & Pacific","1817",287000,30.6,1000
"17415","Maldives","South Asia","1817",42378,32.647,845
"17416","Mali","Sub-Saharan Africa","1817",1403398,26.408,604
"17417","Malta","Europe & Central Asia","1817",134072,28.7,783
"17418","Mauritania","Sub-Saharan Africa","1817",382696,32,529
"17419","Mauritius","Sub-Saharan Africa","1817",78310,28.7,942
"17420","Mexico","America","1817",6382317,26.9,1383
"17421","Micronesia, Fed. Sts.","East Asia & Pacific","1817",16416,26.7,523
"17422","Moldova","Europe & Central Asia","1817",712558,33.145,623
"17423","Mongolia","East Asia & Pacific","1817",619000,31.8,594
"17424","Montenegro","Europe & Central Asia","1817",126582,35.4,1060
"17425","Morocco","Middle East & North Africa","1817",2595056,33.1,717
"17426","Mozambique","Sub-Saharan Africa","1817",2038660,30.2777733333334,394
"17427","Myanmar","East Asia & Pacific","1817",3506000,30.8,842
"17428","Namibia","Sub-Saharan Africa","1817",229000,32.4,542
"17429","Nepal","South Asia","1817",3881000,32.8,656
"17430","Netherlands","Europe & Central Asia","1817",2293548,39.86,3778
"17431","New Zealand","East Asia & Pacific","1817",1e+05,34.05,660
"17432","Nicaragua","America","1817",219387,25.4,976
"17433","Niger","Sub-Saharan Africa","1817",1244861,30.8,447
"17434","Nigeria","Sub-Saharan Africa","1817",12100855,30.4,878
"17435","Norway","Europe & Central Asia","1817",918398,48.8676570521807,1313
"17436","Oman","Middle East & North Africa","1817",318000,32.3,918
"17437","Pakistan","South Asia","1817",13385672,25.8,1019
"17438","Panama","America","1817",78842,32.9,849
"17439","Papua New Guinea","East Asia & Pacific","1817",754894,31.5,548
"17440","Paraguay","America","1817",143000,35.5,837
"17441","Peru","America","1817",1315575,35.7,1207
"17442","Philippines","East Asia & Pacific","1817",1894389,30.9,965
"17443","Poland","Europe & Central Asia","1817",9960687,35.9,1294
"17444","Portugal","Europe & Central Asia","1817",3163489,35.6,1689
"17445","Puerto Rico","America","1817",198271,30.43,1379
"17446","Qatar","Middle East & North Africa","1817",14092,30.8,1169
"17447","Romania","Europe & Central Asia","1817",5915097,35.7,818
"17448","Russia","Europe & Central Asia","1817",31088398,29.5734571976521,1459
"17449","Rwanda","Sub-Saharan Africa","1817",928368,31.8,440
"17450","Samoa","East Asia & Pacific","1817",47220,25.4,1404
"17451","Sao Tome and Principe","Sub-Saharan Africa","1817",22731,31,877
"17452","Saudi Arabia","Middle East & North Africa","1817",2091000,32.1,856
"17453","Senegal","Sub-Saharan Africa","1817",1009886,25.2,498
"17454","Serbia","Europe & Central Asia","1817",2147197,35.5,1361
"17455","Seychelles","Sub-Saharan Africa","1817",12522,37,847
"17456","Sierra Leone","Sub-Saharan Africa","1817",794264,25.1,736
"17457","Singapore","East Asia & Pacific","1817",30000,29.1,1024
"17458","Slovak Republic","Europe & Central Asia","1817",2140651,36.4,1430
"17459","Slovenia","Europe & Central Asia","1817",469664,36.6,1412
"17460","Solomon Islands","East Asia & Pacific","1817",56998,25.1,364
"17461","Somalia","Sub-Saharan Africa","1817",995738,29.4,705
"17462","South Africa","Sub-Saharan Africa","1817",1494779,33.5,1483
"17463","Spain","Europe & Central Asia","1817",11873298,29.5,1522
"17464","Sri Lanka","South Asia","1817",1213000,32.6,900
"17465","Sudan","Sub-Saharan Africa","1817",4047408,31.4,520
"17466","Suriname","America","1817",80721,32.9,1640
"17467","Swaziland","Sub-Saharan Africa","1817",86000,32.3,491
"17468","Sweden","Europe & Central Asia","1817",2428185,40.29,1449
"17469","Switzerland","Europe & Central Asia","1817",1904962,38,2708
"17470","Syria","Middle East & North Africa","1817",1337000,31.1,1084
"17471","Tajikistan","Europe & Central Asia","1817",466629,24.235,560
"17472","Tanzania","Sub-Saharan Africa","1817",3019768,32.2,563
"17473","Thailand","East Asia & Pacific","1817",4665000,30.4,934
"17474","Timor-Leste","East Asia & Pacific","1817",137262,28.949,539
"17475","Togo","Sub-Saharan Africa","1817",445985,31.3,684
"17476","Tonga","East Asia & Pacific","1817",18621,28.2,664
"17477","Trinidad and Tobago","America","1817",60000,32.9,1233
"17478","Tunisia","Middle East & North Africa","1817",868499,28.8,718
"17479","Turkey","Europe & Central Asia","1817",9923007,35,1224
"17480","Turkmenistan","Europe & Central Asia","1817",367215,24,962
"17481","Uganda","Sub-Saharan Africa","1817",2101397,25.3,465
"17482","Ukraine","Europe & Central Asia","1817",11215490,36.6,779
"17483","United Arab Emirates","Middle East & North Africa","1817",40153,30.7,1063
"17484","United Kingdom","Europe & Central Asia","1817",14106058,41.0407176338558,3348
"17485","United States","America","1817",8294928,39.41,2252
"17486","Uruguay","America","1817",55000,32.9,1762
"17487","Uzbekistan","Europe & Central Asia","1817",1919159,26.926,504
"17488","Vanuatu","East Asia & Pacific","1817",27791,24.3,587
"17489","Venezuela","America","1817",718000,32.2,684
"17490","West Bank and Gaza","Middle East & North Africa","1817",165944,32.1,1224
"17491","Vietnam","East Asia & Pacific","1817",6551000,32,863
"17492","Zambia","Sub-Saharan Africa","1817",747000,32.6,691
"17493","Zimbabwe","Sub-Saharan Africa","1817",1085814,33.7,887
"17494","South Sudan","Sub-Saharan Africa","1817",1041076,26.665,509
"17495","Afghanistan","South Asia","1818",3280000,28.02656,604
"17496","Albania","Europe & Central Asia","1818",423591,35.4,669
"17497","Algeria","Middle East & North Africa","1818",2595056,28.8224,733
"17498","Angola","Sub-Saharan Africa","1818",1567028,26.98,668
"17499","Antigua and Barbuda","America","1818",37000,33.536,759
"17500","Argentina","America","1818",534000,33.2,1511
"17501","Armenia","Europe & Central Asia","1818",413326,33.995,515
"17502","Aruba","America","1818",19286,34.419,835
"17503","Australia","East Asia & Pacific","1818",342440,34.05,849
"17504","Austria","Europe & Central Asia","1818",3286650,34.4,1987
"17505","Azerbaijan","Europe & Central Asia","1818",879960,29.165,778
"17506","Bahamas","America","1818",27350,35.179,1449
"17507","Bahrain","Middle East & North Africa","1818",64474,30.3,1334
"17508","Bangladesh","South Asia","1818",19611269,25.5,875
"17509","Barbados","America","1818",81729,32.124,916
"17510","Belarus","Europe & Central Asia","1818",2355081,36.2,614
"17511","Belgium","Europe & Central Asia","1818",3283959,40.1448780487805,2419
"17512","Belize","America","1818",25526,26.5,580
"17513","Benin","Sub-Saharan Africa","1818",636559,31,598
"17514","Bhutan","South Asia","1818",89989,28.799,631
"17515","Bolivia","America","1818",1100000,33,856
"17516","Bosnia and Herzegovina","Europe & Central Asia","1818",851806,35.1,670
"17517","Botswana","Sub-Saharan Africa","1818",121000,33.6,398
"17518","Brazil","America","1818",4058652,31.99652,1112
"17519","Brunei","East Asia & Pacific","1818",2128,29.2,1516
"17520","Bulgaria","Europe & Central Asia","1818",2088223,36.5919999999999,1092
"17521","Burkina Faso","Sub-Saharan Africa","1818",1665421,29.2,481
"17522","Burundi","Sub-Saharan Africa","1818",899097,31.5,425
"17523","Cambodia","East Asia & Pacific","1818",2090000,35,906
"17524","Cameroon","Sub-Saharan Africa","1818",1860054,28.75,628
"17525","Canada","America","1818",727603,39.0269419354839,1472
"17526","Cape Verde","Sub-Saharan Africa","1818",55716,33.8,531
"17527","Chad","Sub-Saharan Africa","1818",1432000,30.9,419
"17528","Chile","America","1818",771447,32,1029
"17529","China","East Asia & Pacific","1818",350542958,32,985
"17530","Colombia","America","1818",1206000,32,965
"17531","Comoros","Sub-Saharan Africa","1818",56346,32.1,709
"17532","Congo, Dem. Rep.","Sub-Saharan Africa","1818",5163819,31.6,522
"17533","Congo, Rep.","Sub-Saharan Africa","1818",314465,32.7,605
"17534","Costa Rica","America","1818",57584,30.2147,777
"17535","Cote d'Ivoire","Sub-Saharan Africa","1818",1088530,31.156,873
"17536","Cuba","America","1818",470176,34.6,1065
"17537","Cyprus","Europe & Central Asia","1818",184590,38.5022736842105,856
"17538","Denmark","Europe & Central Asia","1818",1108146,46.3765923173086,2081
"17539","Djibouti","Middle East & North Africa","1818",22848,29.9,796
"17540","Ecuador","America","1818",5e+05,32.9,531
"17541","Egypt","Middle East & North Africa","1818",4218711,33,793
"17542","El Salvador","America","1818",248000,28.7,977
"17543","Equatorial Guinea","Sub-Saharan Africa","1818",80377,29.8,364
"17544","Eritrea","Sub-Saharan Africa","1818",205010,30.2,533
"17545","Estonia","Europe & Central Asia","1818",334136,41.2427571368559,958
"17546","Ethiopia","Sub-Saharan Africa","1818",2948990,29.7,524
"17547","Fiji","East Asia & Pacific","1818",132682,26.1,787
"17548","Finland","Europe & Central Asia","1818",1070625,37.1690757689444,1286
"17549","France","Europe & Central Asia","1818",30293172,38.53,1868
"17550","Gabon","Sub-Saharan Africa","1818",158227,30.6,391
"17551","Gambia","Sub-Saharan Africa","1818",103274,28.8,822
"17552","Georgia","Europe & Central Asia","1818",1072178,31.871,544
"17553","Germany","Europe & Central Asia","1818",23882461,38.37,1860
