"","year","make","model","vclass","displ","tran","cyl","drive","fueltype","tcharger","scharger","guzzler","cty","hwy","cmb","pv","lv","country","z"
"2681",2011,"mercedes-benz","S63 AMG","Large Cars",5.5,"Automatic 7-spd","8","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,15,22,17,109,16,"Germany","Large Cars"
"2682",2011,"mercedes-benz","S65 AMG","Large Cars",6,"Automatic 5-spd","12","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,12,19,14,109,16,"Germany","Large Cars"
"2683",2012,"audi","R8","Two Seaters",5.2,"Auto(AM6)","10","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,19,15,NA,NA,"Germany","Two Seaters"
"2684",2012,"audi","R8","Two Seaters",5.2,"Manual 6-spd","10","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,12,19,14,NA,NA,"Germany","Two Seaters"
"2685",2012,"audi","R8 Spyder","Two Seaters",5.2,"Auto(AM6)","10","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,19,15,NA,NA,"Germany","Two Seaters"
"2686",2012,"audi","R8 Spyder","Two Seaters",5.2,"Manual 6-spd","10","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,12,19,14,NA,NA,"Germany","Two Seaters"
"2687",2012,"lexus","LFA","Two Seaters",4.8,"Automatic (S6)","10","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,16,12,NA,NA,"Japan","Two Seaters"
"2688",2012,"audi","A5 Cabriolet","Subcompact Cars",2,"Automatic (AV)","4","Front-Wheel Drive","Premium",TRUE,FALSE,FALSE,22,30,25,81,10,"Germany","Subcompact Cars"
"2689",2012,"audi","A5 Cabriolet quattro","Subcompact Cars",2,"Automatic (S8)","4","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,21,29,24,81,10,"Germany","Subcompact Cars"
"2690",2012,"audi","A5 quattro","Subcompact Cars",2,"Automatic (S8)","4","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,21,29,24,84,12,"Germany","Subcompact Cars"
"2691",2012,"audi","A5 quattro","Subcompact Cars",2,"Manual 6-spd","4","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,21,31,25,84,12,"Germany","Subcompact Cars"
"2692",2012,"audi","S5","Subcompact Cars",4.2,"Automatic (S6)","8","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,24,19,84,12,"Germany","Subcompact Cars"
"2693",2012,"audi","S5","Subcompact Cars",4.2,"Manual 6-spd","8","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,22,17,84,12,"Germany","Subcompact Cars"
"2694",2012,"audi","S5 Cabriolet","Subcompact Cars",3,"Automatic (S7)","6","All-Wheel Drive","Premium",FALSE,TRUE,FALSE,17,26,20,81,10,"Germany","Subcompact Cars"
"2695",2012,"bmw","128ci Convertible","Subcompact Cars",3,"Automatic (S6)","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,28,21,78,8,"Germany","Subcompact Cars"
"2696",2012,"bmw","128ci Convertible","Subcompact Cars",3,"Manual 6-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,28,22,78,8,"Germany","Subcompact Cars"
"2697",2012,"bmw","128i","Subcompact Cars",3,"Automatic (S6)","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,28,21,86,10,"Germany","Subcompact Cars"
"2698",2012,"bmw","128i","Subcompact Cars",3,"Manual 6-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,28,22,86,10,"Germany","Subcompact Cars"
"2699",2012,"bmw","135i","Subcompact Cars",3,"Automatic (S7)","6","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,18,25,21,86,10,"Germany","Subcompact Cars"
"2700",2012,"bmw","135i","Subcompact Cars",3,"Manual 6-spd","6","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,20,28,23,86,10,"Germany","Subcompact Cars"
"2701",2012,"bmw","135i Convertible","Subcompact Cars",3,"Automatic (S7)","6","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,18,25,20,78,8,"Germany","Subcompact Cars"
"2702",2012,"bmw","135i Convertible","Subcompact Cars",3,"Manual 6-spd","6","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,19,28,22,78,8,"Germany","Subcompact Cars"
"2703",2012,"bmw","650i Convertible","Compact Cars",4.4,"Automatic (S8)","8","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,15,23,18,89,12,"Germany","Compact Cars"
"2704",2012,"bmw","650i Convertible","Compact Cars",4.4,"Manual 6-spd","8","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,15,22,17,89,12,"Germany","Compact Cars"
"2705",2012,"audi","A4","Compact Cars",2,"Automatic (AV)","4","Front-Wheel Drive","Premium",TRUE,FALSE,FALSE,22,30,25,91,12,"Germany","Compact Cars"
"2706",2012,"audi","A4 quattro","Compact Cars",2,"Automatic (S8)","4","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,21,29,24,91,12,"Germany","Compact Cars"
"2707",2012,"audi","A4 quattro","Compact Cars",2,"Manual 6-spd","4","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,21,31,25,91,12,"Germany","Compact Cars"
"2708",2012,"audi","S4","Compact Cars",3,"Automatic (S7)","6","All-Wheel Drive","Premium",FALSE,TRUE,FALSE,18,28,21,90,13,"Germany","Compact Cars"
"2709",2012,"audi","S4","Compact Cars",3,"Manual 6-spd","6","All-Wheel Drive","Premium",FALSE,TRUE,FALSE,18,27,21,90,13,"Germany","Compact Cars"
"2710",2012,"acura","TL 2WD","Midsize Cars",3.5,"Automatic (S6)","6","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,20,29,23,98,13,"Japan","Midsize Cars"
"2711",2012,"acura","TL 4WD","Midsize Cars",3.7,"Automatic (S6)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,26,21,98,13,"Japan","Midsize Cars"
"2712",2012,"acura","TL 4WD","Midsize Cars",3.7,"Manual 6-spd","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,25,20,98,13,"Japan","Midsize Cars"
"2713",2012,"audi","A6","Midsize Cars",2,"Automatic (AV)","4","Front-Wheel Drive","Premium",TRUE,FALSE,FALSE,25,33,28,97,14,"Germany","Midsize Cars"
"2714",2012,"audi","A6 quattro","Midsize Cars",3,"Automatic (S8)","6","All-Wheel Drive","Premium",FALSE,TRUE,FALSE,19,28,22,97,14,"Germany","Midsize Cars"
"2715",2012,"audi","A7 quattro","Midsize Cars",3,"Automatic (S8)","6","All-Wheel Drive","Premium",FALSE,TRUE,FALSE,18,28,22,94,25,"Germany","Midsize Cars"
"2716",2012,"infiniti","M35h","Midsize Cars",3.5,"Automatic (S7)","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,27,32,29,104,11,"Japan","Midsize Cars"
"2717",2012,"infiniti","M37","Midsize Cars",3.7,"Automatic (S7)","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,26,21,104,15,"Japan","Midsize Cars"
"2718",2012,"infiniti","M37x","Midsize Cars",3.7,"Automatic (S7)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,20,104,15,"Japan","Midsize Cars"
"2719",2012,"infiniti","M56","Midsize Cars",5.6,"Automatic (S7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,24,19,104,15,"Japan","Midsize Cars"
"2720",2012,"infiniti","M56x","Midsize Cars",5.6,"Automatic (S7)","8","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,18,104,15,"Japan","Midsize Cars"
"2721",2012,"audi","A8 L","Large Cars",6.3,"Automatic (S8)","12","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,21,16,109,13,"Germany","Large Cars"
